Table Name:,RP-2014 Rates-Total Dataset
Table Identity:,3124
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,RP-2014
Content Type:,Annuitant Mortality
Table Description:,RP-2014 Rates-Total Dataset Female
EffDate:,
Comments:,"Study Data:  The primary focus of this study was a comprehensive review of recent mortality experience of uninsured private retirement plans in the United States. With the exception of the mortality rates at the youngest and oldest ages, the participant data underlying the RP-2014 tables reflect mortality experience of retirement plans subject to the funding rules of the Pension Protection Act of 2006 (PPA). The final dataset upon which this study has been based reflects approximately 10.5 million life-years of exposure and more than 220,000 deaths, all from uninsured private pension plans subject to PPA funding rules. Data were submitted for a total of 123 private and public/federal pension plans in response to RPEC’s request for plan experience covering the years 2004 through 2008. For purposes of characterizing plans as blue collar or white collar, RPEC used the same criteria as were described in the RP-2000 study. RPEC first projected the raw age nearest birthday mortality rates from their central year (2006) to 2014 using the Scale MP-2014 mortality improvement rates. Those projected rates were then graduated using Whittaker-Henderson-Lowrie methodology, and subsequently extended to extreme (very old or very young) ages using a variety of standard actuarial techniques. The final result was a set of 12 gender-specific amount-weighted tables with base year of 2014: 
• Employee Tables (ages 18 through 80)
o Total (all nondisabled data)
o Blue Collar
o White Collar
o Bottom Quartile (based on salary)
o Top Quartile (based on salary)
• Healthy Annuitant Tables (ages 50 through 120)
o Total (all nondisabled data)
o Blue Collar
o White Collar
o Bottom Quartile (based on benefit amount)
o Top Quartile (based on benefit amount)
• Disabled Retiree Table (ages 18 through 120)
• Juvenile Table (ages 0 through 17)"
Keywords:,"Aggregate,Annuitant Mortality,United States of America"

Table # ,1
Table Description:,RP-2014 Rates-Total Dataset-Employee-Female
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",18
"Row, Column (if applicable)->MaxScaleValue:",80
"Row, Column (if applicable)->Increment:",1

Row\Column,1
18,0.000157
19,0.000162
20,0.000162
21,0.000162
22,0.000162
23,0.000166
24,0.000169
25,0.000173
26,0.000179
27,0.000187
28,0.000196
29,0.000206
30,0.000218
31,0.000231
32,0.000244
33,0.000258
34,0.000272
35,0.000286
36,0.0003
37,0.000318
38,0.000339
39,0.000365
40,0.000396
41,0.000433
42,0.000477
43,0.000529
44,0.000589
45,0.000657
46,0.000733
47,0.000816
48,0.000906
49,0.001001
50,0.001102
51,0.001206
52,0.001315
53,0.001429
54,0.001548
55,0.001673
56,0.001805
57,0.001946
58,0.002097
59,0.002261
60,0.002442
61,0.002642
62,0.002864
63,0.003113
64,0.003389
65,0.003696
66,0.004113
67,0.004577
68,0.005094
69,0.005669
70,0.006309
71,0.007021
72,0.007813
73,0.008695
74,0.009676
75,0.010768
76,0.011983
77,0.013336
78,0.014841
79,0.016516
80,0.01838

