x,1000qx,xp0
1,0.587,0.99941
2,0.433,0.99898
3,0.35,0.99863
4,0.293,0.99834
5,0.274,0.99806
6,0.263,0.9978
7,0.248,0.99755
8,0.234,0.99732
9,0.231,0.99709
10,0.239,0.99685
11,0.256,0.9966
12,0.284,0.99631
13,0.327,0.99599
14,0.38,0.99561
15,0.435,0.99518
16,0.486,0.99469
17,0.526,0.99417
18,0.558,0.99362
19,0.586,0.99303
20,0.613,0.99242
21,0.642,0.99179
22,0.677,0.99112
23,0.717,0.99041
24,0.76,0.98965
25,0.803,0.98886
26,0.842,0.98802
27,0.876,0.98716
28,0.907,0.98626
29,0.935,0.98534
30,0.959,0.9844
31,0.981,0.98343
32,0.997,0.98245
33,1.003,0.98147
34,1.005,0.98048
35,1.013,0.97949
36,1.037,0.97847
37,1.082,0.97741
38,1.146,0.97629
39,1.225,0.9751
40,1.317,0.97381
41,1.424,0.97242
42,1.54,0.97093
43,1.662,0.96931
44,1.796,0.96757
45,1.952,0.96568
46,2.141,0.96362
47,2.366,0.96134
48,2.618,0.95882
49,2.9,0.95604
50,3.223,0.95296
51,3.598,0.94953
52,4.019,0.94571
53,4.472,0.94148
54,4.969,0.93681
55,5.543,0.93161
56,6.226,0.92581
57,7.025,0.91931
58,7.916,0.91203
59,8.907,0.90391
60,10.029,0.89484
61,11.312,0.88472
62,12.781,0.87341
63,14.431,0.86081
64,16.241,0.84683
65,18.191,0.83142
66,20.259,0.81458
67,22.398,0.79633
68,24.581,0.77676
69,26.869,0.75589
70,29.363,0.73369
71,32.169,0.71009
72,35.268,0.68505
73,38.558,0.65863
74,42.106,0.6309
75,46.121,0.6018
76,50.813,0.57122
77,56.327,0.53905
78,62.629,0.50529
79,69.595,0.47012
80,77.114,0.43387
81,85.075,0.39696
82,93.273,0.35993
83,101.578,0.32337
84,110.252,0.28772
85,119.764,0.25326
86,130.583,0.22019
87,143.012,0.1887
88,156.969,0.15908
89,172.199,0.13169
90,188.517,0.10686
91,205.742,0.08488
92,223.978,0.06587
93,243.533,0.04982
94,264.171,0.03666
95,285.199,0.02621
96,305.931,0.01819
97,325.849,0.01226
98,344.977,0.00803
99,363.757,0.00511
100,382.606,0.00316
101,401.942,0.00189
102,422.569,0.00109
103,445.282,0.0006
104,469.115,0.00032
105,491.923,0.00016
106,511.56,0.00008
107,526.441,0.00004
108,536.732,0.00002
109,543.602,0.00001
110,547.664,0
111,549.54,0
112,550,0
113,550,0
114,550,0
115,1000,0
,,
,,
