The United States of America, Life tables (period 1x1), Total	Last modified: 16 Feb 2017, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.06167  0.05883  0.22  100000    5883   95405  6087966  60.88
  1933           1      0.00946  0.00941  0.50   94117     886   93674  5992562  63.67
  1933           2      0.00435  0.00434  0.50   93231     405   93028  5898888  63.27
  1933           3      0.00310  0.00310  0.50   92826     288   92682  5805860  62.55
  1933           4      0.00239  0.00238  0.50   92538     221   92428  5713178  61.74
  1933           5      0.00197  0.00197  0.50   92318     182   92227  5620750  60.88
  1933           6      0.00177  0.00177  0.50   92136     163   92054  5528523  60.00
  1933           7      0.00161  0.00161  0.50   91972     148   91898  5436469  59.11
  1933           8      0.00147  0.00147  0.50   91824     135   91757  5344571  58.20
  1933           9      0.00135  0.00135  0.50   91689     124   91627  5252814  57.29
  1933          10      0.00127  0.00127  0.50   91565     116   91507  5161187  56.37
  1933          11      0.00123  0.00123  0.50   91449     113   91393  5069679  55.44
  1933          12      0.00128  0.00128  0.50   91337     117   91278  4978286  54.50
  1933          13      0.00140  0.00140  0.50   91220     127   91156  4887008  53.57
  1933          14      0.00158  0.00158  0.50   91092     144   91020  4795852  52.65
  1933          15      0.00182  0.00182  0.50   90948     165   90866  4704832  51.73
  1933          16      0.00206  0.00206  0.50   90783     187   90689  4613966  50.82
  1933          17      0.00229  0.00229  0.50   90596     207   90492  4523277  49.93
  1933          18      0.00252  0.00251  0.50   90389     227   90275  4432784  49.04
  1933          19      0.00274  0.00274  0.50   90161     247   90038  4342509  48.16
  1933          20      0.00297  0.00296  0.50   89914     267   89781  4252471  47.29
  1933          21      0.00317  0.00316  0.50   89648     283   89506  4162690  46.43
  1933          22      0.00333  0.00332  0.50   89364     297   89216  4073184  45.58
  1933          23      0.00346  0.00345  0.50   89067     307   88914  3983968  44.73
  1933          24      0.00354  0.00354  0.50   88760     314   88603  3895055  43.88
  1933          25      0.00360  0.00359  0.50   88446     318   88287  3806452  43.04
  1933          26      0.00366  0.00365  0.50   88128     322   87968  3718164  42.19
  1933          27      0.00373  0.00372  0.50   87807     327   87643  3630197  41.34
  1933          28      0.00381  0.00380  0.50   87480     333   87314  3542553  40.50
  1933          29      0.00390  0.00390  0.50   87147     339   86977  3455240  39.65
  1933          30      0.00401  0.00400  0.50   86808     347   86634  3368262  38.80
  1933          31      0.00415  0.00414  0.50   86460     358   86281  3281628  37.96
  1933          32      0.00433  0.00433  0.50   86102     372   85916  3195347  37.11
  1933          33      0.00457  0.00456  0.50   85730     391   85535  3109431  36.27
  1933          34      0.00485  0.00484  0.50   85339     413   85133  3023896  35.43
  1933          35      0.00515  0.00514  0.50   84926     436   84708  2938763  34.60
  1933          36      0.00541  0.00539  0.50   84490     456   84262  2854055  33.78
  1933          37      0.00561  0.00560  0.50   84035     471   83799  2769793  32.96
  1933          38      0.00580  0.00578  0.50   83564     483   83323  2685993  32.14
  1933          39      0.00597  0.00595  0.50   83081     495   82834  2602671  31.33
  1933          40      0.00618  0.00616  0.50   82587     509   82332  2519837  30.51
  1933          41      0.00649  0.00647  0.50   82077     531   81812  2437505  29.70
  1933          42      0.00691  0.00688  0.50   81546     561   81266  2355693  28.89
  1933          43      0.00740  0.00737  0.50   80985     597   80687  2274427  28.08
  1933          44      0.00795  0.00792  0.50   80388     636   80070  2193741  27.29
  1933          45      0.00855  0.00851  0.50   79752     679   79413  2113670  26.50
